experience_level,employee_residence,log_salary_in_usd
MI,IN,4.597859660262605
MI,IN,4.441082135962598
MI,CA,5.903089986991944
EN,MX,5.888740960682893
SE,US,5.8750612633917
MI,US,5.8750612633917
SE,US,5.8750612633917
MI,US,5.8750612633917
MI,US,5.857332496431268
SE,US,5.857332496431268
MI,US,5.857332496431268
SE,US,5.857332496431268
SE,US,5.857332496431268
MI,US,5.857332496431268
MI,US,5.857332496431268
MI,US,5.857332496431268
SE,US,5.778151250383644
SE,US,5.778151250383644
SE,US,5.778151250383644
SE,US,5.740362689494244
SE,US,5.740362689494244
MI,US,5.724275869600789
SE,US,5.698970004336019
SE,US,5.698970004336019
SE,US,5.684845361644412
SE,US,5.653212513775344
SE,US,5.652246341003323
EX,US,5.6512780139981444
MI,US,5.643452676486188
MI,US,5.643452676486188
MI,US,5.643452676486188
MI,US,5.643452676486188
SE,US,5.643452676486188
MI,US,5.643452676486188
MI,US,5.643452676486188
SE,US,5.643452676486188
MI,US,5.643452676486188
MI,US,5.643452676486188
SE,US,5.643452676486188
SE,US,5.643452676486188
SE,US,5.643452676486188
SE,US,5.643452676486188
EX,US,5.6414741105041
SE,US,5.6211762817750355
SE,US,5.6211762817750355
SE,US,5.617000341120899
SE,US,5.617000341120899
EX,US,5.611192060868435
SE,US,5.6020599913279625
MI,US,5.6020599913279625
SE,US,5.600864036309839
SE,US,5.600864036309839
SE,US,5.586699801624049
MI,US,5.585460729508501
SE,US,5.585460729508501
SE,US,5.585460729508501
MI,US,5.585460729508501
SE,US,5.582427017512738
EX,US,5.5814945422908995
SE,US,5.5814945422908995
EX,US,5.571708831808688
SE,US,5.562411832949728
SE,US,5.559906625036112
SE,US,5.559906625036112
SE,US,5.556302500767287
MI,US,5.556302500767287
MI,US,5.555578072772955
MI,US,5.555578072772955
SE,US,5.555300054669641
SE,US,5.553761698390004
SE,US,5.53832233323144
SE,US,5.53832233323144
SE,US,5.53832233323144
SE,US,5.537819095073274
SE,US,5.534533756005116
SE,US,5.531478917042255
SE,US,5.531478917042255
SE,US,5.530519856331774
SE,US,5.528016341189201
SE,US,5.528016341189201
SE,US,5.528016341189201
SE,US,5.528016341189201
EX,CA,5.523843977079961
SE,US,5.5230958382525674
SE,US,5.5230958382525674
SE,US,5.5230958382525674
SE,US,5.5230958382525674
SE,US,5.520666906472944
SE,US,5.520666906472944
SE,US,5.520666906472944
SE,US,5.520666906472944
SE,US,5.520210948716841
SE,CA,5.517459826540232
MI,US,5.515873843711679
EX,US,5.513217600067939
MI,US,5.511883360978874
SE,US,5.51067903103221
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
SE,US,5.510545010206612
EX,US,5.510142699402573
SE,US,5.509605704611556
SE,US,5.507855871695831
SE,US,5.507855871695831
SE,US,5.507855871695831
MI,US,5.5076265252421415
SE,US,5.506505032404872
SE,US,5.506505032404872
EX,US,5.505149978319906
SE,US,5.501059262217751
SE,US,5.5009222391903005
SE,US,5.498310553789601
SE,US,5.497067936398505
EX,CA,5.496929648073215
SE,US,5.495544337546448
SE,US,5.495544337546448
EX,US,5.494553905633412
SE,US,5.491739785689497
SE,US,5.491361693834273
SE,US,5.491361693834273
SE,US,5.491361693834273
SE,US,5.491361693834273
MI,US,5.491361693834273
SE,US,5.489958479424835
SE,US,5.489958479424835
SE,US,5.489958479424835
MI,US,5.488550716500444
SE,US,5.487279816443069
SE,US,5.48394371429042
SE,US,5.48394371429042
SE,US,5.482015576450712
SE,US,5.482015576450712
SE,CA,5.482015576450712
SE,US,5.482015576450712
SE,US,5.481514288346029
SE,US,5.4812132375122085
SE,US,5.477121254719663
EX,US,5.477121254719663
SE,US,5.477121254719663
MI,US,5.477121254719663
EN,US,5.477121254719663
EN,US,5.477121254719663
EN,US,5.477121254719663
EX,US,5.477121254719663
EX,US,5.477121254719663
SE,GB,5.477121254719663
EX,US,5.477121254719663
SE,US,5.477121254719663
SE,US,5.477121254719663
SE,US,5.477121254719663
EX,US,5.477121254719663
SE,US,5.477121254719663
SE,US,5.477121254719663
SE,US,5.476820039445511
SE,US,5.472756449317212
SE,US,5.472756449317212
SE,US,5.472756449317212
SE,US,5.472727202912817
SE,US,5.471878199307291
SE,US,5.471438407389299
SE,US,5.470542788031808
MI,US,5.469822015978163
MI,US,5.469822015978163
SE,US,5.469822015978163
MI,US,5.469822015978163
MI,US,5.469822015978163
MI,US,5.469822015978163
MI,US,5.469822015978163
SE,US,5.469822015978163
SE,US,5.469822015978163
SE,US,5.468347330412158
EN,US,5.4652340949880145
SE,US,5.4623979978989565
EX,US,5.4623979978989565
SE,US,5.4623979978989565
SE,US,5.4623979978989565
SE,US,5.4623979978989565
EX,US,5.4623979978989565
SE,US,5.460897842756548
EX,US,5.459995256047391
SE,US,5.459995256047391
MI,US,5.4590907896005865
MI,US,5.4590907896005865
SE,US,5.458637849025649
SE,US,5.458637849025649
EX,US,5.4571246263034086
SE,US,5.456366033129043
SE,US,5.4558646347875275
SE,US,5.455149521179828
SE,US,5.45484486000851
SE,CH,5.509598987973136
SE,US,5.453929592057729
SE,US,5.453929592057729
SE,US,5.453012391121455
SE,US,5.453012391121455
SE,US,5.453012391121455
SE,US,5.4529817843712465
SE,US,5.4529817843712465
SE,US,5.4529817843712465
SE,US,5.4529817843712465
SE,US,5.4529817843712465
SE,US,5.452553063228925
SE,US,5.450249108319361
SE,US,5.450249108319361
SE,US,5.447158031342219
SE,US,5.447158031342219
SE,US,5.447158031342219
MI,US,5.447158031342219
MI,US,5.447158031342219
MI,US,5.447158031342219
SE,US,5.445604203273597
SE,US,5.445292769425972
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.445136968713304
SE,US,5.442479769064448
SE,US,5.442479769064448
SE,US,5.442479769064448
SE,US,5.442479769064448
SE,US,5.440909082065217
SE,US,5.440909082065217
SE,US,5.440909082065217
SE,US,5.440909082065217
MI,US,5.440909082065217
SE,US,5.440909082065217
SE,US,5.439332693830263
SE,CA,5.325332958543564
SE,US,5.437750562820388
SE,US,5.43695733066945
SE,US,5.43568513794163
SE,US,5.435207103240748
SE,US,5.432006687269598
MI,US,5.431765702625348
SE,US,5.431765702625348
SE,US,5.431765702625348
SE,US,5.431363764158987
SE,US,5.431363764158987
SE,AU,5.431363764158987
SE,US,5.431363764158987
SE,US,5.429913697763754
SE,CA,5.429752280002408
SE,US,5.4292676664331685
EX,CA,5.428944290035575
SE,US,5.4279727136082085
SE,US,5.4279727136082085
EX,US,5.427323786357247
MI,US,5.426673888021373
SE,US,5.426307892369099
SE,US,5.426307892369099
SE,US,5.425667879161146
SE,US,5.424881636631067
SE,US,5.423573519732735
EX,US,5.423245873936808
SE,US,5.420780619548565
MI,US,5.419955748489758
EX,US,5.419955748489758
SE,US,5.418746960340359
SE,US,5.416723697546734
SE,US,5.416307587059882
EN,US,5.4151403521958725
MI,US,5.4151403521958725
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
MI,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
EX,US,5.414973347970818
SE,US,5.414973347970818
SE,US,5.414973347970818
SE,CA,5.414806279501013
EX,US,5.414722721158879
SE,US,5.414471949629303
SE,US,5.412964271996663
SE,US,5.412964271996663
SE,US,5.412830002562326
SE,US,5.412628520544375
EX,US,5.412460547429961
SE,US,5.412460547429961
SE,US,5.41237653650371
SE,US,5.411788004543869
SE,US,5.411788004543869
SE,US,5.411788004543869
MI,US,5.41161970596323
SE,US,5.410945858687774
EN,US,5.410608542568368
SE,US,5.410355383434471
SE,US,5.409933123331294
SE,US,5.408409578468429
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407900540142635
SE,US,5.407348407823904
SE,US,5.407348407823904
SE,US,5.4065401804339555
SE,US,5.4065401804339555
SE,US,5.4065401804339555
SE,US,5.405517106976376
EN,US,5.405295123042287
EN,US,5.405295123042287
SE,US,5.4048337166199385
SE,US,5.4038580235832425
SE,US,5.4038580235832425
SE,US,5.4038580235832425
EN,US,5.4031205211758175
SE,US,5.4031205211758175
SE,US,5.401400540781544
MI,US,5.401400540781544
MI,US,5.401400540781544
SE,US,5.401400540781544
SE,US,5.400106070428545
SE,US,5.399673721481038
MI,US,5.399500661314611
MI,US,5.399500661314611
SE,US,5.399500661314611
SE,US,5.399500661314611
SE,US,5.3993275321586784
SE,US,5.3993275321586784
MI,US,5.3979400086720375
MI,US,5.3979400086720375
MI,US,5.3979400086720375
SE,US,5.3979400086720375
MI,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
MI,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
EX,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
MI,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.3979400086720375
EN,US,5.3979400086720375
MI,US,5.3979400086720375
SE,US,5.3979400086720375
SE,US,5.397418542351348
SE,US,5.395501124305626
SE,US,5.395501124305626
SE,US,5.39375064034808
MI,US,5.39375064034808
SE,US,5.39375064034808
SE,US,5.39375064034808
SE,US,5.39375064034808
SE,US,5.393575203269587
SE,US,5.393575203269587
SE,US,5.393575203269587
SE,US,5.393575203269587
SE,US,5.3932241163612975
SE,US,5.3932241163612975
SE,US,5.3932241163612975
SE,US,5.393136300269217
SE,US,5.393136300269217
EX,US,5.392696953259666
SE,US,5.3918169236132485
EX,US,5.391111613702803
SE,US,5.390935107103379
MI,US,5.390935107103379
MI,US,5.390935107103379
SE,US,5.390405156480081
SE,US,5.389874558390986
SE,US,5.389166084364533
SE,US,5.389166084364533
SE,US,5.389166084364533
EX,US,5.389166084364533
SE,US,5.389166084364533
SE,US,5.389166084364533
MI,US,5.389166084364533
SE,US,5.389166084364533
MI,US,5.389166084364533
MI,US,5.389166084364533
SE,US,5.389166084364533
SE,US,5.389166084364533
SE,US,5.389166084364533
SE,US,5.389166084364533
MI,US,5.389166084364533
MI,US,5.389166084364533
SE,US,5.388932034077522
SE,US,5.388811413473523
SE,FR,5.3881012015705165
SE,US,5.3870337012823635
MI,US,5.3870337012823635
MI,US,5.386498965550653
SE,US,5.386498965550653
EX,US,5.385606273598312
SE,US,5.385606273598312
MI,US,5.383994789441733
SE,US,5.383994789441733
SE,CA,5.269870039603281
SE,EG,5.383815365980431
SE,CA,5.383815365980431
SE,CA,5.269870039603281
SE,CA,5.269870039603281
SE,US,5.383815365980431
MI,US,5.381944954520606
MI,US,5.381944954520606
SE,US,5.381944954520606
SE,US,5.381115080709851
SE,US,5.381115080709851
SE,US,5.381115080709851
SE,GB,5.380573003066887
EX,US,5.380211241711606
MI,US,5.380211241711606
SE,FR,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
MI,US,5.380211241711606
MI,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
MI,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
MI,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
MI,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
SE,US,5.380211241711606
MI,US,5.379486813717274
MI,US,5.379486813717274
SE,US,5.378942698613438
SE,US,5.378942698613438
EX,US,5.377488383376133
EX,US,5.377488383376133
SE,US,5.377306251068199
SE,US,5.375937818630777
SE,US,5.375846436309156
SE,US,5.375846436309156
SE,US,5.375846436309156
SE,US,5.375663613960885
EX,US,5.375663613960885
SE,US,5.375114684692225
SE,US,5.375092713083399
MI,US,5.3747483460101035
SE,US,5.373647472209218
SE,US,5.372912002970106
EX,US,5.372912002970106
SE,US,5.372359582524323
SE,US,5.372322729498555
SE,US,5.372322729498555
MI,US,5.372322729498555
SE,US,5.371067862271736
SE,AU,5.371067862271736
MI,US,5.371067862271736
SE,US,5.371067862271736
SE,US,5.371067862271736
SE,US,5.371067862271736
SE,US,5.371067862271736
SE,CA,5.371067862271736
SE,US,5.370883016777606
SE,US,5.370513089598592
SE,US,5.370513089598592
SE,US,5.370513089598592
SE,US,5.3697722885969625
SE,US,5.369586890736344
SE,US,5.3692158574101425
EN,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.3692158574101425
SE,US,5.36891880234938
EX,US,5.368286884902131
SE,US,5.367728546086976
SE,US,5.367728546086976
EX,US,5.365487984890899
SE,US,5.365487984890899
SE,US,5.364738555055399
MI,US,5.36408174141107
SE,US,5.363611979892144
SE,US,5.363611979892144
SE,US,5.363230159371417
MI,US,5.361727836017593
SE,US,5.361727836017593
EX,US,5.361727836017593
EX,CA,5.361727836017593
SE,US,5.361727836017593
EX,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
MI,US,5.361727836017593
MI,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361727836017593
SE,US,5.361538971269279
SE,US,5.361538971269279
SE,US,5.361538971269279
MI,US,5.361538971269279
MI,US,5.361538971269279
SE,US,5.360534721155956
SE,US,5.359835482339888
SE,US,5.357363030615143
SE,US,5.356408327038981
SE,US,5.3560258571931225
SE,US,5.3560258571931225
MI,US,5.355727296710468
SE,US,5.355068206348851
SE,US,5.354108439147401
SE,US,5.354108439147401
SE,US,5.354108439147401
EX,US,5.352182518111363
EX,US,5.352182518111363
SE,US,5.352182518111363
SE,US,5.352182518111363
SE,US,5.352182518111363
SE,US,5.352182518111363
SE,US,5.352182518111363
SE,US,5.352182518111363
EX,US,5.352182518111363
SE,CA,5.352182518111363
SE,US,5.352182518111363
EX,US,5.352182518111363
SE,US,5.351796306897024
SE,US,5.3504418565350615
SE,US,5.350248018334163
MI,CA,5.350248018334163
SE,US,5.34966598409663
SE,US,5.34966598409663
MI,US,5.349471799214386
MI,US,5.348499570283837
MI,US,5.348499570283837
MI,US,5.348499570283837
MI,US,5.348304863048161
SE,US,5.346939462698991
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
MI,US,5.346744054604849
SE,US,5.346352974450639
SE,US,5.3456285464563065
MI,US,5.345373730559088
SE,US,5.344392273685111
SE,US,5.344392273685111
SE,US,5.344392273685111
SE,US,5.344392273685111
EX,US,5.344392273685111
SE,US,5.344392273685111
SE,US,5.344392273685111
SE,US,5.343999069057161
SE,US,5.343605508104172
SE,US,5.342554923096734
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
MI,US,5.342422680822207
EX,US,5.342422680822207
SE,CA,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
EX,US,5.342422680822207
EX,US,5.342422680822207
SE,CA,5.342422680822207
SE,US,5.342422680822207
SE,GB,5.342422680822207
SE,US,5.342422680822207
EX,US,5.342422680822207
MI,US,5.342422680822207
MI,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
MI,US,5.342422680822207
SE,US,5.342422680822207
MI,US,5.342422680822207
MI,US,5.342422680822207
SE,US,5.342422680822207
EX,US,5.342422680822207
MI,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
EX,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
SE,US,5.342422680822207
EX,US,5.341731207601339
EX,US,5.341731207601339
EX,US,5.341731207601339
EX,US,5.341731207601339
SE,US,5.341632335778054
SE,US,5.341632335778054
SE,US,5.340642377560705
EN,US,5.3404441148401185
SE,US,5.339948061694351
SE,US,5.339451441306441
SE,US,5.339451441306441
MI,US,5.338880620038239
SE,US,5.338880620038239
SE,US,5.338824889968395
SE,US,5.338456493604605
MI,US,5.338456493604605
SE,US,5.337475235046797
SE,US,5.337475235046797
SE,US,5.336059277866349
SE,US,5.335858911319818
SE,US,5.335858911319818
SE,CA,5.335858911319818
SE,US,5.335858911319818
SE,US,5.334453751150931
SE,US,5.334453751150931
SE,US,5.33344727449675
MI,US,5.33344727449675
SE,US,5.332438459915605
SE,US,5.332438459915605
SE,US,5.332438459915605
SE,CA,5.218493491626295
MI,US,5.332438459915605
MI,US,5.332438459915605
MI,AU,5.332438459915605
SE,CA,5.332438459915605
EX,US,5.332438459915605
SE,US,5.332438459915605
SE,US,5.332438459915605
SE,US,5.332438459915605
SE,US,5.332438459915605
SE,CA,5.218493491626295
SE,US,5.332438459915605
SE,CA,5.218493491626295
SE,US,5.332438459915605
SE,US,5.332438459915605
EX,US,5.332438459915605
SE,US,5.331427296520743
SE,US,5.331022171041829
MI,US,5.331022171041829
SE,US,5.330413773349191
MI,US,5.327971623623011
MI,US,5.327971623623011
MI,US,5.327971623623011
MI,US,5.327971623623011
MI,US,5.327971623623011
SE,US,5.327971623623011
MI,US,5.327971623623011
SE,US,5.327930804554236
SE,US,5.32735893438633
EX,US,5.32735893438633
SE,US,5.326335860928752
SE,US,5.326335860928752
SE,US,5.326335860928752
MI,US,5.326335860928752
SE,US,5.326335860928752
SE,US,5.326335860928752
SE,US,5.326335860928752
SE,US,5.326335860928752
MI,US,5.326335860928752
SE,US,5.326335860928752
SE,AU,5.326335860928752
MI,US,5.326335860928752
SE,US,5.326335860928752
MI,US,5.326335860928752
SE,US,5.326335860928752
SE,US,5.326335860928752
