year,log_market_value_in_eur
2000,5.176091259055681
2001,5.0
2003,5.812913356642856
2004,6.311463998585346
2005,6.41037511805116
2006,6.379369813416695
2007,6.368129469651344
2008,6.359825562481153
2009,6.361946577884989
2010,6.35172589920577
2011,6.3120274111755235
2012,6.2966165663597575
2013,6.290801163661855
2014,6.2667275185227345
2015,6.248513128580233
2016,6.265111843776695
2017,6.294381710103256
2018,6.460857613681379
2019,6.414682260580453
2020,6.413296332137479
2021,6.405471180061092
2022,6.372762999834438
2023,6.458013165557704
2024,6.717408727448243
2025,6.902702865329906
